objectid,old file,filename,youtubeid,vimeoid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col003_50,col003_p50.jpg,col003_p46.jpg,,,"Images of Nampa, Idaho Harvest Festival",Willett Family,1921,,Top left: Idaho Coney Fur Company booth.<br>Top right: Nampa Chamber of Commerce awards booth.<br>Bottom left: Unknown booth.<br>Bottom right: Unknown booth.,men;booths;harvest festivals,"Nampa, ID",43.5860411,-116.632934,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_51,col003_p51.jpg,col003_p47.jpg,,,"Images of Nampa, Idaho Harvest Festival",Willett Family,1921,,Top left: Unknown booth.<br>Top right: Booth in front of the Arvidson building.<br>Bottom left: ladies work the booth.Bottom right: Ladies of the Mooseheart Legion booth.,men;women;booths;harvest festivals,"Nampa, ID",43.5860411,-116.632934,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_52,col003_p52.jpg,col003_p48.jpg,,,"Images of Nampa, Idaho Harvest Festival",Willett Family,1921,,Top left: Children play on the carousel.<br>Top right: Men and women stand in front of the Bughouse building.<br>Bottom left: men and women line up in front of the Bughouse building.<br>Bottom right: Unknown booth.,men;women;booths;harvest festivals;bughouse,"Nampa, ID",43.5860411,-116.632934,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_53,col003_p53.jpg,col003_p49.jpg,,,"Traveling through Idaho, Utah, Wyoming and Illinois",Willett Family,1921,,"Top left: Rice Drug Store, Meridian, Idaho.<br>Top right: Mormon Tabernacle.<br>Bottom left: Fort D.A. Russell, Cheyenne, Wyoming.<br>Bottom right: Girl in front of another auto bungalow in Bowling Green, Illinois.",children;storefronts;mormon tabernacle;auto bungalow,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_54,col003_p54.jpg,col003_p50.jpg,,,"Traveling through Idaho, Iowa and Utah",Willett Family,1921,,"Left: Men and women standing in corn field.<br>Center: Hazel sitting with dog in Coggon, Iowa.<br>Right: Wendell on horseback in Conant, Utah.",men;women;dogs;horses,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_55,col003_p55.jpg,col003_p51.jpg,,,Traveling through Utah,Willett Family,1921,,"Left: Seagull monument, Salt Lake, Utah.<br>Center and right: Mormon Temple, Salt Lake, Utah.",monuments;mormon temple;churches,"Salt Lake, UT",40.7765233,-112.0605722,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_56,col003_p56.jpg,col003_p52.jpg,,,Traveling through Iowa and Utah,Willett Family,1921,,"Top left: Woman steps into auto bungalow.<br>Top right: Willetts and Adams families in Marcon, Iowa.<br>Bottom left: Group photo of men, women and children sitting on top of Table Rock, Idaho.<br>Bottom right: Horses stand near haystacks in Meridian, Idaho.",men;women;children;auto bungalows;horses;haystacks,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_57,col003_p57.jpg,col003_p53.jpg,,,Traveling through Idaho,Willett Family,1921,,"Top left: Houses on State Street in Meridian, Idaho.<br>Top right: Blank. Bottom left: storefront in Kuna, Idaho.<br>Bottom right: Automobiles park in front of store in Kuna, Idaho",automobiles;houses;storefronts,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_58,col003_p58.jpg,col003_p54.jpg,,,"Idaho State Fair, Boise, Idaho",Willett Family,1921,,Top left: Fair participants walk cattle around track.<br>Top right: Man and woman in cowboy hats stand behind grandstand.<br>Bottom left: Men stand near fair exhibits.<br>Bottom right: Participants walk horses around track.,men;women;horses;fairs;cattle,"Boise, ID",43.6007205,-116.3739846,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_59,col003_p59.jpg,col003_p55.jpg,,,"Idaho State Fair, Boise, Idaho",Willett Family,1921,,Top left: Aunt Nan standing in her chicken yard.<br>Top right: View of fields from Boise Fairgrounds<br>Bottom left: Group of people head to the fair in an automobile.<br>Bottom right: Fair participants watch as giant potato is paraded around the track.,men;women;children;fairs;cattle;potatoes;chickens;automobiles;fields,"Boise, ID",43.6007205,-116.3739846,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_60,col003_p60.jpg,col003_p56.jpg,,,"Idaho State Fair, Boise, Idaho",Willett Family,1921,,Top left: Participants walk cattle around the track.<br>Top right: View of track.<br>Bottom left: Men stand in front of Meridian barber shop.<br>Bottom center: Group of people stand in front of Meridian storefront.<br>Bottom right: Man and woman stand in front of Meridian storefront.,men;women;barbers;storefronts;fairs;cattle;businesses,"Boise, ID",43.6007205,-116.3739846,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_61,col003_p61.jpg,col003_p57.jpg,,,Traveling through New York and Idaho,Willett Family,1921,,"Top left: View of Arrowrock Dam, Idaho.<br>Top right: Man standing in front of tent in Albany, New York.<br>Bottom left: Image of Grimes grave, Idaho.<br>Bottom right: Fred hunting in the mountains of Idaho.",dams;tents;graves;guns;men,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
